epoch,step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,1.7752257585525513,,,,
,0,,,,0.4296875,,1.6922203302383423
,1,,,,0.3203125,,1.896435022354126
,2,,,,0.359375,,1.8515498638153076
,3,,,,0.3671875,,1.8194879293441772
,4,,,,0.3203125,,1.9627141952514648
,5,,,,0.3828125,,1.7160332202911377
,6,,,,0.3984375,,1.7578262090682983
,7,,,,0.29411765933036804,,1.9513211250305176
0,66,,,0.36430832743644714,,1.8211610317230225,
0,66,1.8957358598709106,,,,,
