epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,1.6803854703903198,,,,
,0,,,,,,,,0.515625,,1.5064022541046143
,1,,,,,,,,0.453125,,1.6275074481964111
,2,,,,,,,,0.4453125,,1.6264657974243164
,3,,,,,,,,0.515625,,1.443981409072876
,4,,,,,,,,0.5078125,,1.4712836742401123
,5,,,,,,,,0.5234375,,1.4066290855407715
,6,,,,,,,,0.5,,1.3887510299682617
,7,,,,,,,,0.5490196347236633,,1.4949723482131958
0,66,,,,,,,0.49736008048057556,,1.495812177658081,
0,66,,,,,1.8338525295257568,,,,,
1,99,,,,,,1.7211931943893433,,,,
,8,,,,,,,,0.5625,,1.3343141078948975
,9,,,,,,,,0.46875,,1.519895315170288
,10,,,,,,,,0.5390625,,1.5356860160827637
,11,,,,,,,,0.59375,,1.248363733291626
,12,,,,,,,,0.5703125,,1.3671249151229858
,13,,,,,,,,0.6015625,,1.235945463180542
,14,,,,,,,,0.5390625,,1.3508474826812744
,15,,,,,,,,0.6078431606292725,,1.236188530921936
1,133,,,,,,,0.5564941763877869,,1.3630878925323486,
1,133,,,,,1.616426706314087,,,,,
2,149,,,,,,1.6285974979400635,,,,
2,199,,,,,,1.5717322826385498,,,,
,16,,,,,,,,0.453125,,1.5382574796676636
,17,,,,,,,,0.453125,,1.7105798721313477
,18,,,,,,,,0.4375,,1.6712956428527832
,19,,,,,,,,0.46875,,1.4827369451522827
,20,,,,,,,,0.46875,,1.516046166419983
,21,,,,,,,,0.4296875,,1.6662893295288086
,22,,,,,,,,0.4921875,,1.4505842924118042
,23,,,,,,,,0.5686274766921997,,1.3810365200042725
2,200,,,,,,,0.46356916427612305,,1.5660126209259033,
2,200,,,,,1.537705898284912,,,,,
3,249,,,,,,1.488065242767334,,,,
,24,,,,,,,,0.578125,,1.3287556171417236
,25,,,,,,,,0.421875,,1.6074682474136353
,26,,,,,,,,0.46875,,1.6886649131774902
,27,,,,,,,,0.578125,,1.3454517126083374
,28,,,,,,,,0.453125,,1.4666393995285034
,29,,,,,,,,0.53125,,1.3864340782165527
,30,,,,,,,,0.4609375,,1.4392528533935547
,31,,,,,,,,0.5490196347236633,,1.3812204599380493
3,267,,,,,,,0.5015839338302612,,1.4615243673324585,
3,267,,,,,1.4800912141799927,,,,,
4,299,,,,,,1.5241793394088745,,,,
,32,,,,,,,,0.5390625,,1.3495583534240723
,33,,,,,,,,0.4765625,,1.4515247344970703
,34,,,,,,,,0.5625,,1.4543620347976685
,35,,,,,,,,0.578125,,1.3042470216751099
,36,,,,,,,,0.6015625,,1.3174939155578613
,37,,,,,,,,0.5390625,,1.3674986362457275
,38,,,,,,,,0.5859375,,1.2601521015167236
,39,,,,,,,,0.6274510025978088,,1.2711310386657715
4,334,,,,,,,0.5586061477661133,,1.3531643152236938,
4,334,,,,,1.419917345046997,,,,,
5,349,,,,,,1.368971586227417,,,,
5,399,,,,,,1.3039578199386597,,,,
,40,,,,,,,,0.6484375,,1.1711673736572266
,41,,,,,,,,0.4921875,,1.4225571155548096
,42,,,,,,,,0.6171875,,1.2853425741195679
,43,,,,,,,,0.609375,,1.1987757682800293
,44,,,,,,,,0.671875,,1.172200322151184
,45,,,,,,,,0.6328125,,1.1982154846191406
,46,,,,,,,,0.6796875,,1.0922192335128784
,47,,,,,,,,0.6470588445663452,,1.2884291410446167
5,401,,,,,,,0.6230200529098511,,1.2237497568130493,
