epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,1.7778319120407104,,,,
,0,,,,,,,,0.4375,,1.6911498308181763
,1,,,,,,,,0.3125,,1.9001479148864746
,2,,,,,,,,0.34375,,1.8539282083511353
,3,,,,,,,,0.359375,,1.8191953897476196
,4,,,,,,,,0.328125,,1.9627790451049805
,5,,,,,,,,0.3984375,,1.7141811847686768
,6,,,,,,,,0.3984375,,1.764810562133789
,7,,,,,,,,0.3137255012989044,,1.9548699855804443
0,66,,,,,,,0.36536431312561035,,1.8226935863494873,
0,66,,,,,1.8959386348724365,,,,,
1,99,,,,,,1.8136589527130127,,,,
,8,,,,,,,,0.453125,,1.6701734066009521
,9,,,,,,,,0.3359375,,1.8818984031677246
,10,,,,,,,,0.375,,1.9050568342208862
,11,,,,,,,,0.3984375,,1.7570829391479492
,12,,,,,,,,0.359375,,1.8495807647705078
,13,,,,,,,,0.375,,1.7025246620178223
,14,,,,,,,,0.3515625,,1.778985857963562
,15,,,,,,,,0.37254902720451355,,1.7501566410064697
1,133,,,,,,,0.37803590297698975,,1.7899227142333984,
1,133,,,,,1.6604714393615723,,,,,
2,149,,,,,,1.6984424591064453,,,,
2,199,,,,,,1.6311352252960205,,,,
,16,,,,,,,,0.40625,,1.8682780265808105
,17,,,,,,,,0.3046875,,2.1179022789001465
,18,,,,,,,,0.3203125,,2.2491164207458496
,19,,,,,,,,0.3359375,,1.9973697662353516
,20,,,,,,,,0.234375,,2.122483015060425
,21,,,,,,,,0.296875,,2.1100878715515137
,22,,,,,,,,0.296875,,2.040954828262329
,23,,,,,,,,0.3137255012989044,,1.9285062551498413
2,200,,,,,,,0.31362196803092957,,2.064568281173706,
2,200,,,,,1.5962756872177124,,,,,
3,249,,,,,,1.5475021600723267,,,,
,24,,,,,,,,0.421875,,1.924976110458374
,25,,,,,,,,0.328125,,2.1717543601989746
,26,,,,,,,,0.3125,,2.3922388553619385
,27,,,,,,,,0.3984375,,1.9454667568206787
,28,,,,,,,,0.265625,,2.3763065338134766
,29,,,,,,,,0.390625,,1.983659029006958
,30,,,,,,,,0.3203125,,2.1398324966430664
,31,,,,,,,,0.3137255012989044,,2.041529417037964
3,267,,,,,,,0.34635692834854126,,2.1285109519958496,
3,267,,,,,1.549227237701416,,,,,
4,299,,,,,,1.6123919486999512,,,,
,32,,,,,,,,0.5390625,,1.5820469856262207
,33,,,,,,,,0.484375,,1.7229821681976318
,34,,,,,,,,0.40625,,1.8854529857635498
,35,,,,,,,,0.5078125,,1.5197474956512451
,36,,,,,,,,0.4375,,1.6522741317749023
,37,,,,,,,,0.4765625,,1.5620641708374023
,38,,,,,,,,0.515625,,1.613508701324463
,39,,,,,,,,0.5686274766921997,,1.390687108039856
4,334,,,,,,,0.485744446516037,,1.6344232559204102,
4,334,,,,,1.5017262697219849,,,,,
