epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,1.6501317024230957,,,,
,0,,,,,,,,0.90625,,1.4871952533721924
,1,,,,,,,,0.8828125,,1.6431583166122437
,2,,,,,,,,0.875,,1.593130350112915
,3,,,,,,,,0.90625,,1.5008723735809326
,4,,,,,,,,0.9140625,,1.5023707151412964
,5,,,,,,,,0.921875,,1.4147380590438843
,6,,,,,,,,0.9296875,,1.3956036567687988
,7,,,,,,,,0.8823529481887817,,1.5730677843093872
0,66,,,,,,,0.903907060623169,,1.5089454650878906,
0,66,,,,,1.8171387910842896,,,,,
1,99,,,,,,1.6993685960769653,,,,
,8,,,,,,,,0.9375,,1.3937360048294067
,9,,,,,,,,0.8984375,,1.6012113094329834
,10,,,,,,,,0.9140625,,1.549018144607544
,11,,,,,,,,0.9375,,1.3417105674743652
,12,,,,,,,,0.9375,,1.441037893295288
,13,,,,,,,,0.953125,,1.2767298221588135
,14,,,,,,,,0.9375,,1.4389153718948364
,15,,,,,,,,0.9411764740943909,,1.3157283067703247
1,133,,,,,,,0.9313622117042542,,1.4282196760177612,
1,133,,,,,1.6029855012893677,,,,,
2,149,,,,,,1.6210389137268066,,,,
2,199,,,,,,1.5400950908660889,,,,
,16,,,,,,,,0.8984375,,1.4997056722640991
,17,,,,,,,,0.859375,,1.6420589685440063
,18,,,,,,,,0.8984375,,1.5997002124786377
,19,,,,,,,,0.9140625,,1.417482852935791
,20,,,,,,,,0.8984375,,1.449586272239685
,21,,,,,,,,0.8515625,,1.6163954734802246
,22,,,,,,,,0.953125,,1.3955061435699463
,23,,,,,,,,0.843137264251709,,1.3852275609970093
2,200,,,,,,,0.893347442150116,,1.5100975036621094,
2,200,,,,,1.5244865417480469,,,,,
3,249,,,,,,1.4678794145584106,,,,
,24,,,,,,,,0.921875,,1.3166996240615845
,25,,,,,,,,0.8984375,,1.541642189025879
,26,,,,,,,,0.8828125,,1.6119329929351807
,27,,,,,,,,0.9375,,1.3188152313232422
,28,,,,,,,,0.8984375,,1.4327744245529175
,29,,,,,,,,0.8828125,,1.3257426023483276
,30,,,,,,,,0.8984375,,1.396327257156372
,31,,,,,,,,0.9019607901573181,,1.3883771896362305
3,267,,,,,,,0.9028511047363281,,1.4188287258148193,
3,267,,,,,1.4601716995239258,,,,,
4,299,,,,,,1.528895378112793,,,,
,32,,,,,,,,0.875,,1.440887689590454
,33,,,,,,,,0.8671875,,1.510627269744873
,34,,,,,,,,0.875,,1.4929137229919434
,35,,,,,,,,0.9375,,1.335073471069336
,36,,,,,,,,0.9453125,,1.3516607284545898
,37,,,,,,,,0.90625,,1.409190058708191
,38,,,,,,,,0.9140625,,1.2647494077682495
,39,,,,,,,,0.8823529481887817,,1.326353907585144
4,334,,,,,,,0.9017951488494873,,1.3967235088348389,
4,334,,,,,1.398446798324585,,,,,
5,349,,,,,,1.3356726169586182,,,,
5,399,,,,,,1.2757821083068848,,,,
,40,,,,,,,,0.9453125,,1.1094965934753418
,41,,,,,,,,0.9296875,,1.3216800689697266
,42,,,,,,,,0.9375,,1.233173131942749
,43,,,,,,,,0.953125,,1.1342406272888184
,44,,,,,,,,0.9296875,,1.159314513206482
,45,,,,,,,,0.9609375,,1.0848830938339233
,46,,,,,,,,0.953125,,1.0745584964752197
,47,,,,,,,,0.9607843160629272,,1.2073873281478882
5,401,,,,,,,0.9450897574424744,,1.1621934175491333,
5,401,,,,,1.350157380104065,,,,,
6,449,,,,,,1.4892522096633911,,,,
,48,,,,,,,,0.9453125,,1.311419129371643
,49,,,,,,,,0.90625,,1.4622882604599
,50,,,,,,,,0.9140625,,1.4740822315216064
