epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,1.6509299278259277,,,,
,0,,,,,,,,0.8984375,,1.4835302829742432
,1,,,,,,,,0.8984375,,1.6342304944992065
,2,,,,,,,,0.875,,1.587367057800293
,3,,,,,,,,0.90625,,1.4879696369171143
,4,,,,,,,,0.9140625,,1.498426914215088
,5,,,,,,,,0.9140625,,1.4144502878189087
,6,,,,,,,,0.9296875,,1.3880069255828857
,7,,,,,,,,0.8823529481887817,,1.564965844154358
0,66,,,,,,,0.903907060623169,,1.5026851892471313,
0,66,,,,,1.8171312808990479,,,,,
1,99,,,,,,1.6950948238372803,,,,
,8,,,,,,,,0.921875,,1.3863472938537598
,9,,,,,,,,0.90625,,1.556025505065918
,10,,,,,,,,0.921875,,1.541046142578125
,11,,,,,,,,0.953125,,1.2852420806884766
,12,,,,,,,,0.9296875,,1.4241160154342651
,13,,,,,,,,0.953125,,1.2585687637329102
,14,,,,,,,,0.953125,,1.3762764930725098
,15,,,,,,,,0.9215686321258545,,1.2657783031463623
1,133,,,,,,,0.9334741234779358,,1.3965049982070923,
1,133,,,,,1.6030592918395996,,,,,
2,149,,,,,,1.6245112419128418,,,,
2,199,,,,,,1.5429096221923828,,,,
,16,,,,,,,,0.890625,,1.5298233032226562
,17,,,,,,,,0.84375,,1.6720988750457764
,18,,,,,,,,0.8828125,,1.6913591623306274
,19,,,,,,,,0.890625,,1.4339146614074707
,20,,,,,,,,0.8984375,,1.5125131607055664
,21,,,,,,,,0.828125,,1.6467866897583008
,22,,,,,,,,0.9375,,1.445862889289856
,23,,,,,,,,0.8823529481887817,,1.378920555114746
2,200,,,,,,,0.8817318081855774,,1.5519185066223145,
2,200,,,,,1.5264300107955933,,,,,
3,249,,,,,,1.4782822132110596,,,,
,24,,,,,,,,0.8984375,,1.4100170135498047
,25,,,,,,,,0.875,,1.609443187713623
,26,,,,,,,,0.875,,1.6314268112182617
,27,,,,,,,,0.9296875,,1.364284873008728
,28,,,,,,,,0.875,,1.4539439678192139
,29,,,,,,,,0.8984375,,1.3597290515899658
,30,,,,,,,,0.8984375,,1.4320008754730225
,31,,,,,,,,0.8823529481887817,,1.4361919164657593
3,267,,,,,,,0.8922914266586304,,1.4642386436462402,
3,267,,,,,1.465665340423584,,,,,
4,299,,,,,,1.5297373533248901,,,,
,32,,,,,,,,0.8984375,,1.4932130575180054
,33,,,,,,,,0.8828125,,1.5710844993591309
,34,,,,,,,,0.84375,,1.565674066543579
,35,,,,,,,,0.8828125,,1.3597793579101562
,36,,,,,,,,0.9296875,,1.4476646184921265
,37,,,,,,,,0.8984375,,1.4841625690460205
,38,,,,,,,,0.9140625,,1.3850141763687134
,39,,,,,,,,0.8823529481887817,,1.3528692722320557
4,334,,,,,,,0.8922914266586304,,1.4659347534179688,
4,334,,,,,1.399878978729248,,,,,
5,349,,,,,,1.340065360069275,,,,
5,399,,,,,,1.3074902296066284,,,,
,40,,,,,,,,0.9609375,,1.1456167697906494
,41,,,,,,,,0.9453125,,1.3398463726043701
,42,,,,,,,,0.9453125,,1.2595229148864746
,43,,,,,,,,0.9609375,,1.116093397140503
,44,,,,,,,,0.9453125,,1.1579937934875488
,45,,,,,,,,0.953125,,1.1675381660461426
,46,,,,,,,,0.96875,,1.0483288764953613
,47,,,,,,,,0.9019607901573181,,1.2370505332946777
5,401,,,,,,,0.9514255523681641,,1.1796852350234985,
5,401,,,,,1.3531702756881714,,,,,
6,449,,,,,,1.4820657968521118,,,,
,48,,,,,,,,0.9296875,,1.3836989402770996
,49,,,,,,,,0.9140625,,1.5206851959228516
,50,,,,,,,,0.890625,,1.55674147605896
,51,,,,,,,,0.953125,,1.3248543739318848
,52,,,,,,,,0.9140625,,1.392390251159668
,53,,,,,,,,0.8984375,,1.378387212753296
,54,,,,,,,,0.9296875,,1.2546182870864868
,55,,,,,,,,0.9215686321258545,,1.4621583223342896
6,468,,,,,,,0.9186906218528748,,1.4048850536346436,
6,468,,,,,1.3108826875686646,,,,,
7,499,,,,,,1.2778801918029785,,,,
,56,,,,,,,,0.9375,,1.1939932107925415
,57,,,,,,,,0.9140625,,1.343360185623169
,58,,,,,,,,0.9296875,,1.2417179346084595
,59,,,,,,,,0.96875,,1.108682632446289
,60,,,,,,,,0.953125,,1.182905912399292
,61,,,,,,,,0.953125,,1.227116346359253
,62,,,,,,,,0.9453125,,1.0338131189346313
,63,,,,,,,,0.9215686321258545,,1.2300443649291992
7,535,,,,,,,0.9419218301773071,,1.1923714876174927,
7,535,,,,,1.2863807678222656,,,,,
8,549,,,,,,1.2173800468444824,,,,
8,599,,,,,,1.4418991804122925,,,,
,64,,,,,,,,0.921875,,1.1912391185760498
,65,,,,,,,,0.875,,1.2679444551467896
,66,,,,,,,,0.921875,,1.308693766593933
,67,,,,,,,,0.9375,,1.0584731101989746
,68,,,,,,,,0.9140625,,1.1662718057632446
,69,,,,,,,,0.921875,,1.075629472732544
,70,,,,,,,,0.921875,,1.1630566120147705
,71,,,,,,,,0.9019607901573181,,1.092984914779663
8,602,,,,,,,0.9155226945877075,,1.1714357137680054,
8,602,,,,,1.2548656463623047,,,,,
9,649,,,,,,1.236943006515503,,,,
,72,,,,,,,,0.984375,,1.0406436920166016
,73,,,,,,,,0.9375,,1.2518635988235474
,74,,,,,,,,0.9375,,1.2099194526672363
,75,,,,,,,,0.96875,,1.0795960426330566
,76,,,,,,,,0.953125,,1.0966484546661377
,77,,,,,,,,0.96875,,1.1495959758758545
,78,,,,,,,,0.9609375,,1.0167094469070435
,79,,,,,,,,0.9411764740943909,,1.097816824913025
9,669,,,,,,,0.9577613472938538,,1.1194779872894287,
9,669,,,,,1.2268118858337402,,,,,
10,699,,,,,,1.3125977516174316,,,,
,80,,,,,,,,0.9765625,,1.211212396621704
,81,,,,,,,,0.90625,,1.348697543144226
,82,,,,,,,,0.921875,,1.2741588354110718
,83,,,,,,,,0.9296875,,1.2219182252883911
,84,,,,,,,,0.9296875,,1.2574012279510498
,85,,,,,,,,0.96875,,1.211625576019287
,86,,,,,,,,0.9375,,1.0874147415161133
,87,,,,,,,,0.8627451062202454,,1.336920976638794
10,736,,,,,,,0.9345300793647766,,1.2360864877700806,
10,736,,,,,1.1885415315628052,,,,,
11,749,,,,,,1.2168114185333252,,,,
11,799,,,,,,1.2210988998413086,,,,
,88,,,,,,,,0.96875,,1.206617832183838
,89,,,,,,,,0.9296875,,1.3447414636611938
,90,,,,,,,,0.921875,,1.4216623306274414
,91,,,,,,,,0.9765625,,1.2583564519882202
,92,,,,,,,,0.9296875,,1.3565891981124878
,93,,,,,,,,0.9765625,,1.2703421115875244
,94,,,,,,,,0.9609375,,1.0710179805755615
,95,,,,,,,,0.9215686321258545,,1.5271711349487305
11,803,,,,,,,0.9503695964813232,,1.2891654968261719,
11,803,,,,,1.1752500534057617,,,,,
12,849,,,,,,1.0890541076660156,,,,
,96,,,,,,,,0.953125,,1.0211694240570068
,97,,,,,,,,0.921875,,1.123169183731079
,98,,,,,,,,0.9296875,,1.1889876127243042
,99,,,,,,,,0.9921875,,0.9059597253799438
,100,,,,,,,,0.9375,,1.0304837226867676
,101,,,,,,,,0.9609375,,1.0552361011505127
,102,,,,,,,,0.96875,,0.9337601661682129
,103,,,,,,,,0.9607843160629272,,0.9532097578048706
12,870,,,,,,,0.9524815082550049,,1.0324559211730957,
12,870,,,,,1.1594730615615845,,,,,
13,899,,,,,,1.067370891571045,,,,
,104,,,,,,,,0.9375,,1.0480613708496094
,105,,,,,,,,0.9296875,,1.1668150424957275
,106,,,,,,,,0.9453125,,1.1306565999984741
,107,,,,,,,,0.984375,,0.9223907589912415
,108,,,,,,,,0.9140625,,1.0769250392913818
,109,,,,,,,,0.9765625,,1.0406608581542969
,110,,,,,,,,0.9609375,,0.9478580355644226
,111,,,,,,,,0.9215686321258545,,1.1822596788406372
13,937,,,,,,,0.9482576847076416,,1.0548746585845947,
13,937,,,,,1.1304064989089966,,,,,
14,949,,,,,,1.0164685249328613,,,,
14,999,,,,,,1.2281889915466309,,,,
,112,,,,,,,,0.9765625,,0.9840376377105713
,113,,,,,,,,0.9375,,1.1221091747283936
,114,,,,,,,,0.9296875,,1.1230828762054443
,115,,,,,,,,0.9609375,,0.8844568729400635
,116,,,,,,,,0.9375,,1.0632588863372803
,117,,,,,,,,0.9375,,0.9910796880722046
,118,,,,,,,,0.96875,,0.9174621105194092
,119,,,,,,,,0.9215686321258545,,1.080775499343872
14,1004,,,,,,,0.9482576847076416,,1.0159049034118652,
14,1004,,,,,1.1060093641281128,,,,,
15,1049,,,,,,1.0658469200134277,,,,
,120,,,,,,,,0.9375,,1.1601608991622925
,121,,,,,,,,0.8984375,,1.4886826276779175
,122,,,,,,,,0.921875,,1.3726496696472168
,123,,,,,,,,0.9453125,,1.151400089263916
,124,,,,,,,,0.9296875,,1.2688968181610107
,125,,,,,,,,0.921875,,1.39251708984375
,126,,,,,,,,0.9765625,,1.1883597373962402
,127,,,,,,,,0.8627451062202454,,1.4868909120559692
15,1071,,,,,,,0.9292502403259277,,1.299612283706665,
15,1071,,,,,1.0750991106033325,,,,,
16,1099,,,,,,1.1113356351852417,,,,
,128,,,,,,,,0.984375,,1.1163828372955322
,129,,,,,,,,0.9140625,,1.214320182800293
,130,,,,,,,,0.9375,,1.2938603162765503
,131,,,,,,,,0.96875,,1.042375087738037
,132,,,,,,,,0.9375,,1.1126656532287598
,133,,,,,,,,0.96875,,1.1458923816680908
,134,,,,,,,,0.9765625,,1.0368263721466064
,135,,,,,,,,0.9411764740943909,,1.2929863929748535
16,1138,,,,,,,0.9545934796333313,,1.145849585533142,
16,1138,,,,,1.057430624961853,,,,,
17,1149,,,,,,1.084005355834961,,,,
17,1199,,,,,,0.9087038636207581,,,,
,136,,,,,,,,0.953125,,1.1572470664978027
,137,,,,,,,,0.90625,,1.2773332595825195
,138,,,,,,,,0.9453125,,1.1890673637390137
,139,,,,,,,,0.96875,,1.0175580978393555
,140,,,,,,,,0.90625,,1.2116457223892212
,141,,,,,,,,0.953125,,1.1929296255111694
,142,,,,,,,,0.9375,,1.0592710971832275
,143,,,,,,,,0.9411764740943909,,1.2026323080062866
17,1205,,,,,,,0.9387539625167847,,1.1602754592895508,
17,1205,,,,,1.035122036933899,,,,,
18,1249,,,,,,0.9553929567337036,,,,
,144,,,,,,,,0.875,,1.4640058279037476
,145,,,,,,,,0.890625,,1.6842656135559082
,146,,,,,,,,0.8984375,,1.3737523555755615
,147,,,,,,,,0.890625,,1.6025238037109375
,148,,,,,,,,0.9140625,,1.6089873313903809
,149,,,,,,,,0.921875,,1.459477186203003
,150,,,,,,,,0.921875,,1.40826416015625
,151,,,,,,,,0.8627451062202454,,1.659369707107544
18,1272,,,,,,,0.8996832370758057,,1.5222716331481934,
18,1272,,,,,1.0050990581512451,,,,,
19,1299,,,,,,1.0617905855178833,,,,
,152,,,,,,,,0.953125,,0.9348134398460388
,153,,,,,,,,0.9609375,,1.0460309982299805
,154,,,,,,,,0.9609375,,0.995191216468811
,155,,,,,,,,0.96875,,0.8099827766418457
,156,,,,,,,,0.9453125,,0.9530600309371948
,157,,,,,,,,0.96875,,0.8888940215110779
,158,,,,,,,,0.9609375,,0.800843358039856
,159,,,,,,,,0.9607843160629272,,0.9325340986251831
19,1339,,,,,,,0.9598732590675354,,0.9191633462905884,
19,1339,,,,,0.9889974594116211,,,,,
20,1349,,,,,,0.8640357255935669,,,,
20,1399,,,,,,0.9527161121368408,,,,
,160,,,,,,,,0.84375,,1.8750860691070557
,161,,,,,,,,0.84375,,1.9911329746246338
,162,,,,,,,,0.8203125,,2.0499587059020996
,163,,,,,,,,0.8515625,,1.7761290073394775
,164,,,,,,,,0.828125,,2.01308536529541
,165,,,,,,,,0.8359375,,1.821229338645935
,166,,,,,,,,0.8515625,,1.7348113059997559
,167,,,,,,,,0.7450980544090271,,2.014453411102295
20,1406,,,,,,,0.8342133164405823,,1.9009507894515991,
20,1406,,,,,0.9563563466072083,,,,,
21,1449,,,,,,0.8673739433288574,,,,
,168,,,,,,,,0.9609375,,1.2138831615447998
,169,,,,,,,,0.921875,,1.3602445125579834
,170,,,,,,,,0.9140625,,1.3866361379623413
,171,,,,,,,,0.9375,,1.0830695629119873
,172,,,,,,,,0.90625,,1.2405753135681152
,173,,,,,,,,0.9453125,,1.1283743381500244
,174,,,,,,,,0.9375,,1.133591651916504
,175,,,,,,,,0.9215686321258545,,1.150660514831543
21,1473,,,,,,,0.9313622117042542,,1.2171275615692139,
21,1473,,,,,0.9292922019958496,,,,,
22,1499,,,,,,0.7894226312637329,,,,
,176,,,,,,,,0.921875,,1.1916358470916748
,177,,,,,,,,0.921875,,1.238558053970337
,178,,,,,,,,0.875,,1.2809545993804932
,179,,,,,,,,0.96875,,1.12544584274292
,180,,,,,,,,0.9296875,,1.1269969940185547
,181,,,,,,,,0.953125,,1.0889551639556885
,182,,,,,,,,0.9453125,,1.0629827976226807
,183,,,,,,,,0.8823529481887817,,1.3553096055984497
22,1540,,,,,,,0.9281942844390869,,1.1699138879776,
22,1540,,,,,0.9105697870254517,,,,,
23,1549,,,,,,0.8416338562965393,,,,
23,1599,,,,,,0.8121824860572815,,,,
,184,,,,,,,,0.8671875,,1.505110263824463
,185,,,,,,,,0.875,,1.6261886358261108
,186,,,,,,,,0.890625,,1.3778706789016724
,187,,,,,,,,0.8828125,,1.4047057628631592
,188,,,,,,,,0.875,,1.335254430770874
,189,,,,,,,,0.9140625,,1.3829784393310547
,190,,,,,,,,0.9140625,,1.2763557434082031
,191,,,,,,,,0.8039215803146362,,1.882915735244751
23,1607,,,,,,,0.883843719959259,,1.4406675100326538,
23,1607,,,,,0.8802966475486755,,,,,
24,1649,,,,,,0.7993289232254028,,,,
,192,,,,,,,,0.9375,,1.0703766345977783
,193,,,,,,,,0.890625,,1.2767696380615234
,194,,,,,,,,0.8984375,,1.2932729721069336
,195,,,,,,,,0.9609375,,0.9924114942550659
,196,,,,,,,,0.921875,,1.1543959379196167
,197,,,,,,,,0.9296875,,1.179004192352295
,198,,,,,,,,0.953125,,0.9990025162696838
,199,,,,,,,,0.8823529481887817,,1.0911847352981567
24,1674,,,,,,,0.9250264167785645,,1.1353752613067627,
24,1674,,,,,0.8619677424430847,,,,,
25,1699,,,,,,0.8038632869720459,,,,
,200,,,,,,,,0.9140625,,1.2062547206878662
,201,,,,,,,,0.875,,1.2381068468093872
,202,,,,,,,,0.90625,,1.270538330078125
,203,,,,,,,,0.9375,,1.2030158042907715
,204,,,,,,,,0.9453125,,1.2393677234649658
,205,,,,,,,,0.953125,,1.1134793758392334
,206,,,,,,,,0.9375,,1.1922414302825928
,207,,,,,,,,0.8627451062202454,,1.6150670051574707
25,1741,,,,,,,0.9208025336265564,,1.230869174003601,
25,1741,,,,,0.82989901304245,,,,,
26,1749,,,,,,0.8121004104614258,,,,
26,1799,,,,,,0.850732684135437,,,,
,208,,,,,,,,0.890625,,1.3734544515609741
,209,,,,,,,,0.875,,1.7169164419174194
,210,,,,,,,,0.8984375,,1.5251504182815552
,211,,,,,,,,0.8984375,,1.3603439331054688
,212,,,,,,,,0.890625,,1.7190401554107666
,213,,,,,,,,0.875,,1.4726250171661377
,214,,,,,,,,0.8515625,,1.5215864181518555
,215,,,,,,,,0.8823529481887817,,1.396906852722168
26,1808,,,,,,,0.8827877640724182,,1.5200097560882568,
26,1808,,,,,0.8184444308280945,,,,,
27,1849,,,,,,0.8180162906646729,,,,
,216,,,,,,,,0.9765625,,1.127227783203125
,217,,,,,,,,0.921875,,1.3785810470581055
,218,,,,,,,,0.90625,,1.419302225112915
,219,,,,,,,,0.9296875,,1.0878067016601562
,220,,,,,,,,0.8984375,,1.2635738849639893
,221,,,,,,,,0.953125,,1.097350001335144
,222,,,,,,,,0.9453125,,1.108015537261963
,223,,,,,,,,0.9215686321258545,,1.367095947265625
27,1875,,,,,,,0.932418167591095,,1.2200629711151123,
27,1875,,,,,0.7902765274047852,,,,,
28,1899,,,,,,0.7888509035110474,,,,
,224,,,,,,,,0.890625,,1.559358835220337
,225,,,,,,,,0.8984375,,1.7033069133758545
,226,,,,,,,,0.8984375,,1.6830416917800903
,227,,,,,,,,0.9296875,,1.5587282180786133
,228,,,,,,,,0.875,,1.7270556688308716
,229,,,,,,,,0.9375,,1.593131184577942
,230,,,,,,,,0.921875,,1.4779386520385742
,231,,,,,,,,0.7843137383460999,,1.939469337463379
28,1942,,,,,,,0.9007391929626465,,1.6321444511413574,
28,1942,,,,,0.7719894647598267,,,,,
29,1949,,,,,,0.7552046179771423,,,,
29,1999,,,,,,0.7898041009902954,,,,
,232,,,,,,,,0.9609375,,1.0890445709228516
,233,,,,,,,,0.875,,1.3594434261322021
,234,,,,,,,,0.8671875,,1.3749483823776245
