epoch,step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,1.8684532642364502,,,,
,0,,,,0.46875,,1.807659387588501
,1,,,,0.390625,,1.9024434089660645
,2,,,,0.453125,,1.8501783609390259
,3,,,,0.4296875,,1.8083239793777466
,4,,,,0.3671875,,1.9361188411712646
,5,,,,0.5,,1.8265540599822998
,6,,,,0.4296875,,1.8211572170257568
,7,,,,0.4313725531101227,,1.844139814376831
0,66,,,0.4340021014213562,,1.8500136137008667,
0,66,1.9878212213516235,,,,,
1,99,,1.906141996383667,,,,
,8,,,,0.5078125,,1.7203080654144287
,9,,,,0.40625,,1.8329110145568848
,10,,,,0.5078125,,1.7521030902862549
,11,,,,0.484375,,1.7129420042037964
,12,,,,0.4375,,1.806532382965088
,13,,,,0.5546875,,1.7189754247665405
,14,,,,0.4765625,,1.7368106842041016
,15,,,,0.4901960790157318,,1.7307872772216797
1,133,,,0.48257654905319214,,1.753098964691162,
1,133,1.8479509353637695,,,,,
2,149,,1.8816978931427002,,,,
2,199,,1.7963016033172607,,,,
,16,,,,0.4921875,,1.7397300004959106
,17,,,,0.4296875,,1.8103461265563965
,18,,,,0.4375,,1.7764701843261719
,19,,,,0.4609375,,1.757839322090149
,20,,,,0.40625,,1.832921028137207
,21,,,,0.4609375,,1.8024131059646606
,22,,,,0.4375,,1.736004114151001
,23,,,,0.5098039507865906,,1.704856514930725
2,200,,,0.44984161853790283,,1.7753751277923584,
2,200,1.7951874732971191,,,,,
3,249,,1.784543514251709,,,,
,24,,,,0.5625,,1.655167818069458
,25,,,,0.4609375,,1.7586650848388672
,26,,,,0.4609375,,1.7538529634475708
,27,,,,0.53125,,1.594130039215088
,28,,,,0.390625,,1.797379732131958
,29,,,,0.546875,,1.643890380859375
,30,,,,0.4921875,,1.6842542886734009
,31,,,,0.5098039507865906,,1.6464943885803223
3,267,,,0.4931362271308899,,1.6954073905944824,
3,267,1.754098892211914,,,,,
4,299,,1.7592905759811401,,,,
,32,,,,0.5234375,,1.6081091165542603
,33,,,,0.4453125,,1.7010893821716309
,34,,,,0.4921875,,1.7026660442352295
,35,,,,0.5390625,,1.5203906297683716
,36,,,,0.4453125,,1.7326990365982056
,37,,,,0.5234375,,1.596911907196045
,38,,,,0.5390625,,1.6096652746200562
,39,,,,0.5686274766921997,,1.5417633056640625
4,334,,,0.5047518610954285,,1.633564829826355,
4,334,1.7068551778793335,,,,,
5,349,,1.6612868309020996,,,,
5,399,,1.6325370073318481,,,,
,40,,,,0.5625,,1.545100450515747
,41,,,,0.4375,,1.6794614791870117
,42,,,,0.5078125,,1.6467599868774414
,43,,,,0.5390625,,1.5325825214385986
,44,,,,0.5390625,,1.6493430137634277
,45,,,,0.578125,,1.4801557064056396
,46,,,,0.5234375,,1.5208438634872437
,47,,,,0.5686274766921997,,1.5519145727157593
5,401,,,0.5290390849113464,,1.5777099132537842,
5,401,1.6714811325073242,,,,,
6,449,,1.763310432434082,,,,
,48,,,,0.484375,,1.5947299003601074
,49,,,,0.4140625,,1.7236487865447998
,50,,,,0.4921875,,1.6647374629974365
,51,,,,0.5234375,,1.546973705291748
,52,,,,0.4609375,,1.6946063041687012
,53,,,,0.53125,,1.5726183652877808
,54,,,,0.5,,1.568062424659729
,55,,,,0.5686274766921997,,1.611199140548706
6,468,,,0.49102428555488586,,1.6229561567306519,
6,468,1.6357501745224,,,,,
7,499,,1.5626943111419678,,,,
